# Lumonisity distance data with evaluation of validity of instrumental response (i.e. which data is to be discarded)
# Observation	Distance(Mpc)	Valid Instrument Response
30102	224.8042	1
44739	 99.2010	1
10922	167.3473	1
38265	105.3549	1
34850	185.2127	1
39135	249.7029	1
28999	167.8318	1
34189	230.3596	1
15475	231.5825	0
12314	249.2622	1
48799	165.2625	1
42652	172.5585	0
13771	251.9573	0
37606	111.0629	1
33467	181.6595	1
11623	222.2805	1
16940	294.1470	0
23475	133.7679	1
24486	189.9923	1
33527	137.1541	1
43595	150.5613	1
37770	234.4129	1
39821	206.8516	1
11119	189.0024	1
48608	228.1843	1
22582	268.0350	1
11283	234.3086	1
18539	224.1983	0
15621	233.0511	1
27523	265.0463	1
